|Happy|Angry|Surprise|Sad|Fear|emotion
352|0.02|0.02|0.12|0.34|0.49|Fear
353|0.22|0.0|0.19|0.37|0.22|Sad
354|0.31|0.06|0.06|0.25|0.31|Happy
355|0.4|0.0|0.4|0.0|0.2|Happy
356|0.06|0.08|0.17|0.34|0.36|Fear
357|0.45|0.0|0.13|0.23|0.19|Happy
358|0.11|0.02|0.2|0.38|0.29|Sad
359|0.1|0.03|0.31|0.22|0.35|Fear
360|0.13|0.07|0.27|0.4|0.13|Sad
361|0.0|0.0|0.0|0.0|0.0|Happy
362|0.2|0.0|0.27|0.07|0.47|Fear
363|0.0|0.0|0.0|0.0|0.0|Happy
364|0.11|0.0|0.44|0.17|0.28|Surprise
365|0.05|0.14|0.24|0.33|0.24|Sad
366|0.0|0.0|0.0|0.0|0.0|Happy
367|0.14|0.0|0.22|0.14|0.51|Fear
368|0.0|0.0|0.0|0.0|0.0|Happy
369|0.22|0.0|0.33|0.33|0.11|Surprise
370|0.5|0.0|0.25|0.25|0.0|Happy
371|1.0|0.0|0.0|0.0|0.0|Happy
372|0.8|0.0|0.0|0.2|0.0|Happy
373|0.13|0.0|0.23|0.23|0.42|Fear
374|0.13|0.03|0.27|0.23|0.34|Fear
375|0.0|0.0|0.33|0.43|0.24|Sad
376|0.0|0.0|0.33|0.67|0.0|Sad
377|0.0|0.0|0.0|1.0|0.0|Sad
378|0.0|0.0|0.0|0.0|0.0|Happy
379|0.36|0.0|0.36|0.18|0.09|Happy
380|0.0|0.0|0.0|0.0|0.0|Happy
381|0.28|0.0|0.28|0.34|0.1|Sad
382|0.0|0.0|0.0|0.0|0.0|Happy
383|0.08|0.0|0.23|0.35|0.35|Sad
384|0.19|0.0|0.31|0.19|0.31|Surprise
385|0.0|0.0|0.0|0.0|0.0|Happy
386|0.0|0.0|0.0|0.0|0.0|Happy
387|0.0|0.0|0.0|0.0|0.0|Happy
388|0.0|0.0|0.0|0.0|0.0|Happy
389|0.17|0.17|0.17|0.5|0.0|Sad
390|0.0|0.0|0.0|0.0|0.0|Happy
391|0.11|0.0|0.11|0.56|0.22|Sad
392|0.1|0.0|0.2|0.3|0.4|Fear
393|0.0|0.0|0.0|0.0|0.0|Happy
394|0.0|0.0|0.0|0.0|0.0|Happy
395|0.0|0.0|0.0|0.0|0.0|Happy
396|0.0|0.0|0.0|0.0|0.0|Happy
397|1.0|0.0|0.0|0.0|0.0|Happy
398|0.0|0.0|0.0|0.0|0.0|Happy
399|0.0|0.0|0.5|0.38|0.12|Surprise
400|0.0|0.0|0.0|0.0|0.0|Happy
401|0.0|0.0|0.0|0.0|0.0|Happy
402|0.07|0.21|0.36|0.21|0.14|Surprise
403|0.0|0.0|0.0|0.0|0.0|Happy
404|0.0|0.0|0.44|0.44|0.11|Surprise
405|0.25|0.0|0.75|0.0|0.0|Surprise
406|0.29|0.05|0.24|0.19|0.24|Happy
407|0.3|0.1|0.1|0.3|0.2|Happy
408|0.33|0.0|0.33|0.33|0.0|Happy
